estimated_revenue
36500
21780
21900
20100
9600
2720
73000
54750
73146
32485
16425
17940
100375
155000
54450
3420
32850
25110
13275
41400
20160
67500
109500
65700
24455
48090
25550
28080
4640
5340
7275
2475
16632
20709
39420
16341
26077
24909
3400
23460
5800
30096
9450
13020
14080
9306
18425
36000
16500
17940
0
72270
28560
74000
18250
7560
55080
18615
65335
32490
225
44415
12775
41550
22750
17238
134000
40150
91250
29200
3364
25185
61685
140847
11913
125
0
8680
12420
99900
15345
27370
2080
91250
32850
91250
45625
76020
715
43800
2300
21900
3888
14895
34390
20075
136875
18250
78475
43800
11235
3725
42037
41975
40150
2880
36500
26700
1792
21900
4030
21900
1800
12300
63875
36500
64125
16425
21384
4680
21535
20075
6525
29200
31025
20075
18250
21900
38400
123550
13475
10950
31140
25550
12600
22160
16530
34300
324
1710
440
10725
63187
46720
34675
36000
91250
1696
42770
73000
36135
37152
33580
47250
22995
44400
82125
650
34675
28470
11760
3780
1566
4600
5254
16665
92710
14820
36500
40150
14101
162450
21900
25550
36500
59150
16425
47450
1440
48790
200
5662
0
50735
36300
65868
34310
26643
11880
10640
36500
23184
74500
28750
65048
14670
36135
14235
31025
45625
32500
15570
54750
32485
43800
18250
11360
6290
525
12250
28625
42387
61200
26645
15264
18250
22160
73000
8800
3650
42360
23694
32500
12760
0
32000
14235
32850
126000
9300
110000
43800
189
43800
56430
0
41810
3675
56575
14280
42920
17155
12410
34675
31506
18980
7144
52925
8400
27375
73000
11771
39520
20550
34675
11500
130
74100
96000
16920
21255
33024
30960
43435
8160
12600
32670
9545
49275
29600
25460
30058
36500
36500
36256
600
4257
31328
109652
11110
40365
0
2600
52925
3240
450
58765
11240
71175
11000
0
7676
32775
20340
65
126000
83585
21825
42600
25550
13950
7372
16425
40880
14600
18780
22230
63875
13440
18250
14790
62100
19152
20435
44992
18250
26550
12060
37170
60225
22400
14965
21600
36500
27375
72436
690
23205
23000
42720
30888
65016
118902
4548
25330
25550
74900
54750
45625
2560
49350
46306
127750
41625
67160
22355
76285
44850
25840
20592
30600
27375
18615
51100
31680
54750
72400
45625
28644
34254
20418
78475
18778
15300
12750
239
37129
21900
30940
3360
21900
1599
36500
16275
26280
37620
52925
111650
13279
104949
30361
14040
0
54750
19200
34675
7500
32485
46250
3553
90885
6450
16390
15620
32307
31122
91250
14235
64798
15762
54750
0
42303
50005
60450
21168
31390
6615
41630
58400
18980
33450
13650
14600
20075
810
21900
7560
23275
5880
41550
