price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,room_type,neighbourhood_group
59,2,34,1.47,0,5,Private room,Brooklyn
55,1,1,0.02,0,1,Private room,Brooklyn
75,6,76,0.8,278,1,Entire home/apt,Staten Island
80,1,11,0.92,0,6,Private room,Manhattan
85,2,2,0.09,0,1,Entire home/apt,Brooklyn
55,7,1,0.02,0,1,Private room,Brooklyn
50,5,0,0.0,0,1,Private room,Manhattan
60,1,1,0.02,0,1,Private room,Brooklyn
200,4,1,0.37,173,3,Entire home/apt,Brooklyn
350,2,0,0.0,12,2,Entire home/apt,Manhattan
175,3,56,3.0,288,2,Entire home/apt,Brooklyn
30,1,4,0.12,0,1,Private room,Brooklyn
90,14,1,0.16,19,2,Entire home/apt,Queens
70,3,0,0.0,0,1,Private room,Brooklyn
35,1,33,6.56,5,1,Entire home/apt,Manhattan
80,2,35,1.16,88,1,Private room,Brooklyn
95,2,20,0.45,191,2,Private room,Brooklyn
100,4,120,2.36,22,1,Private room,Brooklyn
54,7,6,0.58,359,47,Private room,Manhattan
90,30,4,0.35,346,2,Entire home/apt,Bronx
40,30,0,0.0,354,43,Private room,Queens
75,2,34,0.35,222,1,Private room,Manhattan
179,2,0,0.0,12,1,Entire home/apt,Manhattan
128,3,3,0.08,0,1,Entire home/apt,Manhattan
95,12,1,0.03,0,1,Private room,Brooklyn
100,2,1,0.16,5,2,Entire home/apt,Brooklyn
250,2,11,2.34,0,1,Entire home/apt,Manhattan
53,2,18,2.49,333,2,Private room,Brooklyn
130,2,151,3.16,36,1,Entire home/apt,Brooklyn
200,30,1,0.11,0,25,Entire home/apt,Manhattan
99,2,51,3.45,0,3,Entire home/apt,Brooklyn
108,7,19,0.43,21,1,Entire home/apt,Brooklyn
92,5,0,0.0,0,1,Private room,Manhattan
250,2,99,4.03,176,1,Entire home/apt,Manhattan
63,3,1,0.14,0,1,Private room,Brooklyn
150,3,4,0.5,69,1,Entire home/apt,Brooklyn
225,3,0,0.0,0,1,Entire home/apt,Manhattan
65,1,158,3.35,355,2,Private room,Queens
95,2,2,0.09,0,2,Entire home/apt,Brooklyn
78,1,0,0.0,0,1,Private room,Manhattan
40,2,9,0.43,71,1,Private room,Brooklyn
210,3,25,0.3,347,1,Entire home/apt,Manhattan
58,30,0,0.0,338,5,Private room,Brooklyn
200,29,0,0.0,342,327,Entire home/apt,Manhattan
71,3,62,2.76,291,1,Private room,Queens
55,1,0,0.0,62,6,Private room,Queens
254,1,18,0.72,0,1,Entire home/apt,Manhattan
285,3,12,1.76,313,5,Entire home/apt,Manhattan
100,30,9,0.37,0,1,Entire home/apt,Brooklyn
110,7,12,0.14,0,1,Entire home/apt,Manhattan
59,1,66,5.38,126,1,Private room,Manhattan
450,3,0,0.0,4,1,Entire home/apt,Manhattan
60,1,1,0.04,0,1,Private room,Manhattan
70,1,0,0.0,0,1,Private room,Manhattan
100,2,1,0.06,0,1,Entire home/apt,Brooklyn
175,2,17,2.64,27,1,Entire home/apt,Manhattan
45,30,1,0.03,0,1,Private room,Brooklyn
130,4,5,0.19,0,2,Entire home/apt,Manhattan
60,30,0,0.0,341,32,Private room,Manhattan
170,2,94,2.99,78,1,Entire home/apt,Brooklyn
200,2,0,0.0,364,1,Entire home/apt,Queens
149,2,0,0.0,327,1,Entire home/apt,Queens
89,1,1,0.11,365,1,Private room,Manhattan
139,3,6,0.13,0,1,Entire home/apt,Manhattan
100,1,3,1.58,2,1,Private room,Brooklyn
499,2,28,2.95,233,1,Entire home/apt,Manhattan
94,7,17,0.28,0,1,Private room,Manhattan
83,1,75,4.57,44,1,Private room,Manhattan
495,2,1,1.0,341,3,Entire home/apt,Brooklyn
80,1,215,4.68,232,1,Private room,Brooklyn
100,6,0,0.0,0,1,Entire home/apt,Brooklyn
92,30,17,0.5,113,2,Entire home/apt,Brooklyn
250,2,0,0.0,67,1,Entire home/apt,Manhattan
250,4,6,0.08,250,1,Entire home/apt,Brooklyn
188,2,7,0.59,19,2,Entire home/apt,Brooklyn
45,1,1,1.0,39,1,Private room,Brooklyn
99,3,1,0.08,0,1,Entire home/apt,Queens
39,30,1,0.23,0,103,Private room,Queens
85,1,2,0.06,0,2,Private room,Manhattan
125,7,0,0.0,0,1,Entire home/apt,Manhattan
100,5,2,0.32,40,1,Entire home/apt,Queens
45,25,1,0.05,19,1,Private room,Brooklyn
150,2,19,1.27,0,1,Entire home/apt,Brooklyn
89,1,105,4.38,0,2,Entire home/apt,Queens
120,3,0,0.0,0,1,Private room,Manhattan
50,3,0,0.0,0,2,Private room,Brooklyn
40,4,1,0.24,81,2,Private room,Manhattan
185,15,11,1.23,331,2,Entire home/apt,Manhattan
75,1,19,0.57,358,1,Private room,Manhattan
125,21,12,0.15,267,2,Entire home/apt,Manhattan
125,2,27,0.88,136,1,Private room,Brooklyn
199,2,240,3.49,152,1,Entire home/apt,Manhattan
200,4,75,4.36,59,1,Entire home/apt,Manhattan
73,5,5,0.47,0,1,Private room,Manhattan
48,2,33,3.21,47,1,Private room,Bronx
50,1,1,0.08,0,1,Private room,Manhattan
80,3,18,1.74,88,6,Private room,Manhattan
200,5,0,0.0,0,1,Private room,Manhattan
200,2,36,2.8,321,1,Entire home/apt,Brooklyn
10,5,2,0.07,0,1,Private room,Manhattan
120,4,0,0.0,12,2,Private room,Manhattan
66,2,23,3.14,6,2,Private room,Manhattan
100,2,83,4.08,40,2,Private room,Manhattan
110,30,3,0.12,249,1,Entire home/apt,Manhattan
199,1,20,0.45,365,11,Private room,Brooklyn
200,3,2,0.03,205,1,Entire home/apt,Brooklyn
39,6,2,0.55,0,1,Private room,Queens
90,3,3,0.12,0,1,Private room,Brooklyn
350,3,3,0.48,5,1,Entire home/apt,Manhattan
50,7,1,0.11,179,1,Shared room,Brooklyn
400,14,2,0.06,90,4,Entire home/apt,Brooklyn
120,2,17,0.43,0,1,Private room,Manhattan
189,30,1,1.0,364,121,Entire home/apt,Manhattan
120,1,1,0.03,0,1,Entire home/apt,Queens
