neighbourhood_group,neighbourhood,latitude,longitude,location_key
Manhattan,Stuyvesant Town,40.731833055555555,-73.97823027777777,120
Manhattan,Theater District,40.75985897435898,-73.98547523809523,121
Manhattan,Tribeca,40.71756933333334,-74.00738486666667,122
Manhattan,Two Bridges,40.71172722222222,-73.99578013888889,123
Manhattan,Upper East Side,40.772762276330695,-73.95468233861834,124
Manhattan,Upper West Side,40.788556311134236,-73.97366670135276,125
Manhattan,Washington Heights,40.84451674470457,-73.93834935340023,126
Manhattan,West Village,40.7343139124487,-74.00404909712722,127
Queens,Arverne,40.59186613333333,-73.79494573333334,128
Queens,Astoria,40.764302849162014,-73.91998159776537,129
Queens,Bay Terrace,40.78066333333334,-73.78305,130
Queens,Bayside,40.759293684210526,-73.76857078947369,131
Queens,Bayswater,40.60571823529411,-73.76258235294118,132
Queens,Belle Harbor,40.57615125,-73.849045,133
Queens,Bellerose,40.731111428571424,-73.7263957142857,134
Queens,Breezy Point,40.56573,-73.86990333333334,135
Queens,Briarwood,40.70980927272728,-73.81395363636364,136
Queens,Cambria Heights,40.69378230769231,-73.73592038461538,137
Queens,College Point,40.78480263157895,-73.84378736842105,138
Queens,Corona,40.7429009375,-73.86100015625,139
Queens,Ditmars Steinway,40.7750295145631,-73.91055352750809,140
Queens,Douglaston,40.75964125,-73.73612625,141
Queens,East Elmhurst,40.762807717391304,-73.87869315217391,142
Queens,Edgemere,40.59467545454545,-73.77372818181819,143
Queens,Elmhurst,40.73993611814346,-73.87870569620254,144
Queens,Far Rockaway,40.59719888888889,-73.75510185185186,145
Queens,Flushing,40.75486321513002,-73.81951444444445,146
Queens,Forest Hills,40.721714295774646,-73.84676549295774,147
Queens,Fresh Meadows,40.7390734375,-73.788746875,148
Queens,Glendale,40.70078425925926,-73.8892062962963,149
Queens,Hollis,40.71452,-73.76707642857143,150
Queens,Holliswood,40.7224525,-73.77063,151
Queens,Howard Beach,40.661451,-73.845106,152
Queens,Jackson Heights,40.75174322580645,-73.88153715053764,153
Queens,Jamaica,40.6849524347826,-73.78827486956523,154
Queens,Jamaica Estates,40.71814833333334,-73.79088388888889,155
Queens,Jamaica Hills,40.71358875,-73.7985025,156
Queens,Kew Gardens,40.7083015625,-73.830565,157
Queens,Kew Gardens Hills,40.724429615384615,-73.81922884615385,158
Queens,Laurelton,40.67529277777778,-73.74460055555556,159
Queens,Little Neck,40.764697999999996,-73.730012,160
Queens,Long Island City,40.752467476635516,-73.93817616822429,161
Queens,Maspeth,40.729699,-73.899919,162
Queens,Middle Village,40.716305806451615,-73.87912548387098,163
Queens,Neponsit,40.57063,-73.85921666666667,164
Queens,Ozone Park,40.68123887096774,-73.84736258064515,165
Queens,Queens Village,40.71459383333333,-73.74315366666666,166
Queens,Rego Park,40.72680462264151,-73.86168273584906,167
Queens,Richmond Hill,40.69398457446809,-73.83000361702128,168
Queens,Ridgewood,40.70407765957447,-73.90590231678487,169
Queens,Rockaway Beach,40.58743357142857,-73.8137830357143,170
Queens,Rosedale,40.65946898305084,-73.73445610169492,171
Queens,South Ozone Park,40.67225925,-73.804218,172
Queens,Springfield Gardens,40.66768988235294,-73.76242811764706,173
Queens,St. Albans,40.69566763157894,-73.76206763157894,174
Queens,Sunnyside,40.74241371900826,-73.92070933884297,175
Queens,Whitestone,40.78423818181818,-73.81864999999999,176
Queens,Woodhaven,40.691967727272726,-73.8582325,177
Queens,Woodside,40.7459250212766,-73.9027229787234,178
Staten Island,Arden Heights,40.55241,-74.1822525,179
Staten Island,Arrochar,40.593899523809526,-74.07460047619048,180
Staten Island,"Bay Terrace, Staten Island",40.551435,-74.140495,181
Staten Island,Bull's Head,40.60115,-74.16637166666668,182
Staten Island,Castleton Corners,40.6171025,-74.1230075,183
Staten Island,Clifton,40.619166,-74.08156133333334,184
Staten Island,Concord,40.60201192307692,-74.08418653846154,185
Staten Island,Dongan Hills,40.580395714285714,-74.09334142857142,186
Staten Island,Eltingville,40.541043333333334,-74.15436333333334,187
Staten Island,Emerson Hill,40.607162,-74.12800999999999,188
Staten Island,Graniteville,40.62283,-74.16575333333334,189
Staten Island,Grant City,40.57893,-74.10933,190
Staten Island,Great Kills,40.549969,-74.144807,191
Staten Island,Grymes Hill,40.614848571428574,-74.09376285714286,192
Staten Island,Howland Hook,40.631294999999994,-74.17262,193
Staten Island,Huguenot,40.53946666666667,-74.17168,194
Staten Island,Lighthouse Hill,40.576795000000004,-74.13456,195
Staten Island,Mariners Harbor,40.63317875,-74.15921625,196
Staten Island,Midland Beach,40.57369666666667,-74.095325,197
Staten Island,New Brighton,40.642607999999996,-74.092958,198
Staten Island,New Dorp,40.57044,-74.11747,199
Staten Island,New Dorp Beach,40.564828,-74.102124,200
Staten Island,New Springville,40.5845125,-74.15781,201
Staten Island,Oakwood,40.560512,-74.11859999999999,202
Staten Island,Port Richmond,40.63314888888888,-74.13383222222222,203
Staten Island,Prince's Bay,40.524013333333336,-74.20069,204
Staten Island,Randall Manor,40.632373333333334,-74.12284888888888,205
Staten Island,Richmondtown,40.57093,-74.12429,206
Staten Island,Rosebank,40.61214857142857,-74.07099142857143,207
Staten Island,Rossville,40.5479,-74.21017,208
Staten Island,Shore Acres,40.608822857142854,-74.06672428571427,209
Staten Island,Silver Lake,40.623395,-74.09649999999999,210
Staten Island,South Beach,40.59120125,-74.08733125,211
Staten Island,St. George,40.6432570212766,-74.08189659574468,212
Staten Island,Stapleton,40.632663333333326,-74.07849518518518,213
Staten Island,Todt Hill,40.603375,-74.110105,214
Staten Island,Tompkinsville,40.633134523809524,-74.08646476190476,215
Staten Island,Tottenville,40.507349999999995,-74.23939,216
Staten Island,West Brighton,40.63193222222222,-74.11595888888888,217
Staten Island,Westerleigh,40.613895,-74.13366500000001,218
Staten Island,Willowbrook,40.59886,-74.13217,219
